Location,Latitude,Longitude
Garrett,46.06,-118.39
Geneva,48.75,-122.41
George,47.08,-119.86
Gig Harbor,47.33,-122.6
Glacier,48.89,-121.93
Gleed,46.66,-120.6
Gold Bar,47.86,-121.69
Goldendale,45.82,-120.82
Gorst,47.52,-122.71
Graham,47.04,-122.28
Grand Coulee,47.94,-119
Grand Mound,46.81,-123.01
Grandview,46.24,-119.91
Granger,46.35,-120.19
Granite Falls,48.09,-121.97
Grapeview,47.33,-122.83
Grayland,46.83,-124.09
Grays River,46.36,-123.59
Green Bluff,47.82,-117.28
Greenwater,47.15,-121.63
Hamilton town,48.53,-121.98
Hansville,47.92,-122.57
Harrah town,46.41,-120.54
Harrington,47.48,-118.26
Hartline town,47.69,-119.11
Hat Island,48.01,-122.32
Hatton town,46.77,-118.83
Hazel Dell,45.68,-122.66
Herron Island,47.26,-122.83
High Bridge,47.8,-122.03
Hobart,47.41,-122
Hockinson,45.73,-122.48
Hogans Corner,47.04,-124.16
Home,47.28,-122.77
Hoodsport,47.4,-123.15
Hoquiam,46.98,-123.9
Humptulips,47.25,-123.93
Hunts Point town,47.64,-122.23
Ilwaco,46.3,-124.02
Inchelium,48.34,-118.24
Index town,47.82,-121.56
Indianola,47.75,-122.51
Inglewood-Finn Hill,47.72,-122.23
Ione town,48.74,-117.42
Issaquah,47.54,-122.04
Jamestown,48.12,-123.09
Junction,46.97,-123.77
Kahlotus,46.64,-118.56
Kalama,46.01,-122.84
Kapowsin,46.97,-122.23
Keller,48.09,-118.72
Kelso,46.12,-122.89
Kendall,48.92,-122.14
Kenmore,47.75,-122.25
Kennewick,46.2,-119.17
Kent,47.38,-122.22
Ketron Island,47.16,-122.63
Kettle Falls,48.61,-118.06
Key Center,47.34,-122.75
Keyport,47.7,-122.62
Kingsgate,47.73,-122.17
Kingston,47.8,-122.5
Kirkland,47.69,-122.19
Kittitas,46.99,-120.42
Klahanie,47.57,-122.01
Klickitat,45.82,-121.16
Krupp town,47.41,-118.99
La Center,45.87,-122.67
La Conner town,48.39,-122.49
La Grande,46.82,-122.3
Lacey,47.04,-122.79
LaCrosse town,46.8,-117.9
Lake Bosworth,48.05,-121.98
Lake Cassidy,48.06,-122.09
Lake Cavanaugh,48.32,-122.01
Lake Forest Park,47.76,-122.29
Lake Holm,47.3,-122.13
Lake Ketchum,48.28,-122.35
Lake Marcel-Stillwater,47.69,-121.92
Lake McMurray,48.31,-122.23
Lake Morton-Berrydale,47.33,-122.1
Lake Roesiger,47.98,-121.91
Lake Shore,45.69,-122.69
Lake Stevens,48,-122.1
Lake Stickney,47.87,-122.26
Lake Tapps,47.23,-122.17
Lakeland North,47.34,-122.28
Lakeland South,47.28,-122.28
Lakeview,47.38,-119.5
Lakewood,47.16,-122.53
Lamont town,47.2,-117.91
Langley,48.03,-122.41
Larch Way,47.84,-122.25
Latah town,47.28,-117.16
Laurier,49,-118.22
Leavenworth,47.59,-120.66
Lebam,46.56,-123.55
Lewisville,45.81,-122.52
Liberty Lake,47.67,-117.1
Lind town,46.97,-118.61
Lochsloy,48.06,-122.04
Lofall,47.81,-122.66
Long Beach,46.36,-124.06
Longbranch,47.23,-122.77
Longview,46.15,-122.96
Longview Heights,46.18,-122.96
Loomis,48.82,-119.64
Loon Lake,48.07,-117.63
Lower Elochoman,46.22,-123.37
Lyle,45.7,-121.28
Lyman town,48.52,-122.06
Lynden,48.95,-122.45
Lynnwood,47.83,-122.3
Mabton,46.21,-119.99
Machias,47.99,-122.05
Malden town,47.23,-117.47
Malo,48.8,-118.61
Malone,46.98,-123.3
Malott,48.29,-119.7
Maltby,47.8,-122.1
Manchester,47.55,-122.54
Mansfield town,47.81,-119.64
Manson,47.89,-120.16
Maple Falls,48.91,-122.1
Maple Heights-Lake Desire,47.44,-122.1
Maple Valley,47.37,-122.04
Maplewood,47.37,-122.57
Marblemount,48.54,-121.43
Marcus town,48.66,-118.06
Marietta-Alderwood,48.79,-122.55
Markham,46.92,-123.98
Marrowstone,48.06,-122.69
Martha Lake,47.85,-122.23
Maryhill,45.69,-120.81
Marysville,48.08,-122.16
Mattawa town,46.74,-119.9
May Creek,47.86,-121.67
McChord AFB,47.13,-122.49
McCleary,47.06,-123.27
McKenna,46.94,-122.55
McMillin,47.13,-122.24
Mead,47.78,-117.35
Meadow Glade,45.75,-122.56
Meadowdale,47.86,-122.32
Medical Lake,47.57,-117.69
Medina,47.63,-122.24
Mercer Island,47.57,-122.23
Mesa,46.57,-119
Metaline Falls town,48.86,-117.37
Metaline town,48.85,-117.39
Methow,48.13,-120.01
Midland,47.17,-122.41
Mill Creek,47.86,-122.2
Mill Creek East,47.84,-122.19
Millwood town,47.69,-117.28
Milton,47.25,-122.31
Mineral,46.72,-122.19
